Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLine_Html,CountLine_Javascript,CountLine_Php,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCode_Javascript,CountLineCode_Php,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Public Class,br.com.concrete.canarinho.test.watcher.BoletoTextWatcherTest,1,1,1,1,9,1,8,0,1,7,7,0,,0,0,,,,5,2,,,,5,5,0,0,0,5,,63,,,,12,,,,49,,,17,28,2,,,,,,,27,34,12,,,25,,,,,,,,1,1,1,1,,1,0,,19,19,0.04,5,5,5,5
Public Class,br.com.concrete.canarinho.test.watcher.ValorMonetarioWatcherTest,1,1,1,1,10,1,9,0,1,8,8,0,,0,0,,,,5,1,,,,5,5,0,0,0,5,,64,,,,11,,,,53,,,15,34,0,,,,,,,28,34,10,,,26,,,,,,,,1,1,1,1,,1,0,,0,0,0.00,5,5,5,5
Public Class,br.com.concrete.canarinho.watcher.MascaraNumericaTextWatcher,1,1,1,1,11,2,6,2,1,10,10,0,,0,0,,,,3,4,,,,3,15,0,1,0,2,,110,,,,18,,,,50,,,19,22,42,,,,,,,25,37,18,,,21,,,,,,,,3,3,3,1,,2,1,,41,16,0.84,5,5,5,3
Public Class,br.com.concrete.canarinho.watcher.TelefoneTextWatcher,1,1,1,1,8,1,5,1,1,11,11,0,,0,3,,,,3,2,,,,3,15,0,1,0,2,,45,,,,9,,,,24,,,13,14,12,,,,,,,12,17,11,,,12,,,,,,,,3,3,3,1,,2,1,,66,66,0.50,5,5,5,3
Public Method,br.com.concrete.canarinho.sample.ui.model.Watchers.EventoDeValidacaoBoleto.invalido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,15,,,,5,,,,10,,,1,8,0,,,,1,5,1,4,9,1,,,8,,,5,5,5,1,3,,,,,0,,1,0,,,0.00,5,5,5,1
Private Method,br.com.concrete.canarinho.validator.ValidadorBoleto.validaNormal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,20,,,,5,,,,15,,,1,9,0,,,,5,5,1,5,10,1,,,9,,,5,5,5,5,4,,,,,4,,1,4,,,0.00,5,5,5,5
Public Method,br.com.concrete.canarinho.validator.ValidadorCPF.ehValido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,24,,,,7,,,,17,,,6,12,0,,,,8,4,1,9,13,6,,,12,,,4,4,5,4,3,,,,,3,,1,3,,,0.00,4,4,5,4
Private Method,br.com.concrete.canarinho.validator.ValidadorCPF.estaNaListaNegra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,12,,,,3,,,,9,,,2,5,0,,,,3,3,0,5,8,3,,,5,,,3,3,5,1,0,,,,,0,,2,0,,,0.00,3,3,5,1
Public Method,br.com.concrete.canarinho.validator.ValidadorCPFCNPJ.ehValido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,11,,,,2,,,,9,,,1,5,0,,,,7,3,0,3,6,1,,,5,,,3,3,5,3,2,,,,,2,,1,2,,,0.00,3,3,5,3
Private Method,br.com.concrete.canarinho.watcher.BaseCanarinhoTextWatcher.carregarMascara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,29,,,,7,,,,20,,,5,14,4,,,,6,6,1,12,17,6,,,13,,,5,5,5,5,3,,,,,3,,3,3,,,0.20,5,5,5,5
Protected Method,br.com.concrete.canarinho.watcher.BaseCanarinhoTextWatcher.efetuaValidacao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,28,,,,4,,,,17,,,1,12,7,,,,9,5,1,7,12,1,,,11,,,5,5,5,3,4,,,,,2,,1,2,,,0.41,5,5,5,3
Private Method,br.com.concrete.canarinho.watcher.BoletoBancarioTextWatcher.verificaFiltro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,8,,,,0,,,,7,,,1,4,1,,,,3,3,0,2,5,1,,,4,,,3,3,5,1,1,,,,,0,,1,0,,,0.14,3,3,5,1
File,TesteFormatadorBOLETO.java,1,1,1,1,11,2,8,0,,,,,1,0,0,4,,4,4,0,,,,4,,0,0,0,4,,67,,,,19,,,,47,,,17,25,1,,,,,,,22,27,12,,,15,,,,,,,,1,1,1,1,,,0,,,,0.02,4,4,4,4
File,WatcherFragment.java,1,1,1,1,9,1,8,0,,,,,1,1,0,3,,3,2,4,,,,3,,0,0,0,3,,56,,,,11,,,,45,,,25,17,0,,,,,,,33,38,23,,,17,,,,,,,,2,2,2,1,,,1,,,,0.00,4,4,4,3
File,WatchersPagerAdapter.java,1,1,1,1,3,0,3,0,,,,,1,0,0,4,,4,4,1,,,,4,,0,0,0,4,,30,,,,7,,,,23,,,14,5,0,,,,,,,10,15,11,,,5,,,,,,,,1,1,1,1,,,0,,,,0.00,4,4,4,4
Anonymous Class,br.com.concrete.canarinho.sample.DemoWatchersInstrumentationTest.paste.(Anon_1),1,1,1,1,6,0,4,1,1,9,9,0,,0,0,,,,3,0,,,,3,3,0,0,0,3,,24,,,,3,,,,18,,,1,14,3,,,,,,,5,9,4,,,6,,,,,,,,2,2,2,1,,2,1,,0,0,0.17,4,4,4,3
Package,br.com.concrete.canarinho.sample.ui.adapter,1,1,1,1,3,0,3,0,,,,,1,0,0,,1,,4,1,,,,4,,0,0,0,4,,30,,,,7,,,,23,,,14,5,0,,,,,,,10,15,11,,,5,,,,,,,,1,1,1,1,,,0,,,,0.00,4,4,4,4
Public Class,br.com.concrete.canarinho.sample.ui.adapter.WatchersPagerAdapter,1,1,1,1,3,0,3,0,1,5,5,0,,0,0,,,,4,1,,,,4,4,0,0,0,4,,23,,,,5,,,,18,,,9,5,0,,,,,,,5,10,6,,,5,,,,,,,,1,1,1,1,,2,0,,25,25,0.00,4,4,4,4
Public Class,br.com.concrete.canarinho.sample.ui.fragment.WatcherFragment,1,1,1,1,9,1,8,0,1,12,12,0,,1,0,,,,2,4,,,,3,4,0,0,0,3,,39,,,,7,,,,32,,,12,17,0,,,,,,,20,25,10,,,17,,,,,,,,2,2,2,1,,3,1,,41,33,0.00,4,4,4,3
Public Static Class,br.com.concrete.canarinho.sample.ui.model.Watchers.SampleEventoDeValidacao,1,1,1,1,4,0,4,0,2,4,4,1,,0,0,,,,4,1,,,,4,4,0,0,0,4,,31,,,,5,,,,22,,,9,8,4,,,,,,,6,11,6,,,5,,,,,,,,1,1,1,1,,1,0,,0,0,0.18,4,4,4,4
Public Class,br.com.concrete.canarinho.test.TesteFormatadorBOLETO,1,1,1,1,11,2,8,0,1,2,2,0,,0,0,,,,4,0,,,,4,4,0,0,0,4,,55,,,,15,,,,39,,,9,25,1,,,,,,,15,20,5,,,15,,,,,,,,1,1,1,1,,1,0,,0,0,0.03,4,4,4,4
Public Method,br.com.concrete.canarinho.validator.ValidadorCEP.ehValido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,19,,,,4,,,,15,,,2,11,0,,,,8,4,1,4,7,2,,,6,,,3,3,4,1,1,,,,,0,,1,0,,,0.00,3,3,4,1
Public Method,br.com.concrete.canarinho.validator.ValidadorCNPJ.ehValido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,20,,,,6,,,,14,,,6,10,0,,,,7,3,0,8,11,6,,,10,,,3,3,4,3,2,,,,,2,,1,2,,,0.00,3,3,4,3
Public Method,br.com.concrete.canarinho.validator.ValidadorCNPJ.ehValido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,19,,,,4,,,,15,,,2,11,0,,,,8,4,1,4,7,2,,,6,,,3,3,4,1,1,,,,,0,,1,0,,,0.00,3,3,4,1
Public Method,br.com.concrete.canarinho.validator.ValidadorCPF.ehValido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,19,,,,4,,,,15,,,2,11,0,,,,8,4,1,4,7,2,,,6,,,3,3,4,1,1,,,,,0,,1,0,,,0.00,3,3,4,1
Public Method,br.com.concrete.canarinho.validator.ValidadorCPFCNPJ.ehValido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,11,,,,2,,,,9,,,1,5,0,,,,7,4,1,3,6,1,,,5,,,3,3,4,1,1,,,,,0,,1,0,,,0.00,3,3,4,1
Public Method,br.com.concrete.canarinho.validator.ValidadorTelefone.ehValido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,9,,,,2,,,,7,,,2,4,0,,,,4,2,0,3,5,2,,,4,,,2,2,4,1,1,,,,,0,,1,0,,,0.00,2,2,4,1
Public Method,br.com.concrete.canarinho.validator.ValidadorTelefone.ehValido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,18,,,,3,,,,15,,,2,11,0,,,,8,4,1,4,7,2,,,6,,,3,3,4,1,1,,,,,0,,1,0,,,0.00,3,3,4,1
Public Method,br.com.concrete.canarinho.watcher.MascaraNumericaTextWatcher.Builder.build,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,13,,,,2,,,,6,,,1,3,5,,,,4,2,0,2,4,1,,,3,,,2,2,4,1,0,,,,,0,,1,0,,,0.83,2,2,4,1
Public Method,br.com.concrete.canarinho.watcher.ValorMonetarioWatcher.afterTextChanged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,25,,,,5,,,,18,,,5,13,2,,,,9,4,1,6,10,3,,,9,,,4,4,4,3,2,,,,,2,,2,2,,,0.11,4,4,4,3
File,CEPTextWatcher.java,1,1,1,1,10,2,5,2,,,,,1,0,2,2,,2,2,2,,,,2,,0,0,0,2,,47,,,,12,,,,25,,,16,11,10,,,,,,,15,19,14,,,9,,,,,,,,2,2,2,1,,,1,,,,0.40,3,3,3,2
File,CanarinhoValorMonetarioWatcherFragment.java,1,1,1,1,13,2,11,0,,,,,1,0,0,2,,2,2,4,,,,2,,0,0,0,2,,56,,,,12,,,,44,,,24,17,0,,,,,,,31,35,22,,,14,,,,,,,,2,2,2,1,,,1,,,,0.00,3,3,3,2
File,TesteFormatadorLinhaDigitavel.java,1,1,1,1,6,1,5,0,,,,,1,0,0,3,,3,3,0,,,,3,,0,0,0,3,,41,,,,10,,,,31,,,19,11,0,,,,,,,18,22,15,,,9,,,,,,,,1,1,1,1,,,0,,,,0.00,3,3,3,3
Public Class,br.com.concrete.canarinho.sample.ui.fragment.CanarinhoValorMonetarioWatcherFragment,1,1,1,1,13,2,11,0,1,14,14,0,,0,0,,,,2,4,,,,2,3,0,0,0,2,,38,,,,8,,,,30,,,10,17,0,,,,,,,17,21,8,,,14,,,,,,,,2,2,2,1,,3,1,,25,12,0.00,3,3,3,2
Public Class,br.com.concrete.canarinho.test.TesteFormatadorLinhaDigitavel,1,1,1,1,6,1,5,0,1,3,3,0,,0,0,,,,3,0,,,,3,3,0,0,0,3,,28,,,,6,,,,22,,,10,11,0,,,,,,,10,14,7,,,9,,,,,,,,1,1,1,1,,1,0,,0,0,0.00,3,3,3,3
Public Class,br.com.concrete.canarinho.watcher.CEPTextWatcher,1,1,1,1,10,2,5,2,1,9,9,0,,0,2,,,,2,2,,,,2,14,0,0,0,2,,38,,,,9,,,,19,,,10,11,10,,,,,,,9,13,8,,,9,,,,,,,,2,2,2,1,,2,1,,50,50,0.53,3,3,3,2
Public Static Class,br.com.concrete.canarinho.watcher.ValorMonetarioWatcher.Builder,1,1,1,1,8,0,3,5,1,1,1,0,,0,0,,,,3,2,,,,3,3,0,0,0,3,,37,,,,4,,,,15,,,6,5,18,,,,,,,7,11,6,,,5,,,,,,,,1,1,1,1,,1,0,,33,33,1.20,3,3,3,3
Public Method,br.com.concrete.canarinho.DigitoPara.Builder.build,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,22,,,,3,,,,9,,,1,5,10,,,,5,4,1,3,6,1,,,5,,,3,3,3,1,0,,,,,0,,1,0,,,1.11,3,3,3,1
Public Method,br.com.concrete.canarinho.formatador.FormatadorBase.desformata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,13,,,,3,,,,10,,,2,6,0,,,,4,4,1,4,7,2,,,6,,,3,3,3,1,1,,,,,0,,1,0,,,0.00,3,3,3,1
Public Method,br.com.concrete.canarinho.formatador.FormatadorBase.formata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,12,,,,3,,,,9,,,1,5,0,,,,4,4,1,3,6,1,,,5,,,3,3,3,1,1,,,,,0,,1,0,,,0.00,3,3,3,1
Public Method,br.com.concrete.canarinho.formatador.FormatadorCPFCNPJ.podeSerFormatado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,11,,,,2,,,,9,,,1,5,0,,,,3,3,0,3,6,1,,,5,,,3,3,3,3,2,,,,,2,,1,2,,,0.00,3,3,3,3
Public Method,br.com.concrete.canarinho.formatador.FormatadorValor.desformata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,19,,,,2,,,,16,,,4,11,1,,,,9,4,1,7,10,4,,,7,,,3,3,3,1,1,,,,,0,,1,0,,,0.06,3,3,3,1
Public Method,br.com.concrete.canarinho.test.TesteFormatadorCPFCNPJ.consegueDizerSeEstaFormatado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,34,,,,4,,,,28,,,1,24,2,,,,4,4,1,20,23,1,,,22,,,3,3,3,1,2,,,,,0,,1,0,,,0.07,3,3,3,1
Private Method,br.com.concrete.canarinho.validator.ValidadorBoleto.validaBloco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,21,,,,4,,,,16,,,4,11,1,,,,9,3,0,6,9,3,,,7,,,3,3,3,3,2,,,,,2,,1,2,,,0.06,3,3,3,3
Public Method,br.com.concrete.canarinho.validator.ValidadorCEP.ehValido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,10,,,,3,,,,7,,,2,4,0,,,,4,2,0,3,5,2,,,4,,,2,2,3,1,1,,,,,0,,1,0,,,0.00,2,2,3,1
Public Method,br.com.concrete.canarinho.watcher.CPFCNPJTextWatcher.afterTextChanged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,12,,,,3,,,,9,,,3,6,0,,,,5,2,0,5,7,3,,,6,,,3,3,3,1,1,,,,,0,,1,0,,,0.00,3,3,3,1
Public Method,br.com.concrete.canarinho.watcher.MascaraNumericaTextWatcher.afterTextChanged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,16,,,,4,,,,10,,,2,6,2,,,,6,3,0,4,7,2,,,6,,,3,3,3,1,1,,,,,0,,1,0,,,0.20,3,3,3,1
Public Method,br.com.concrete.canarinho.watcher.TelefoneTextWatcher.afterTextChanged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,13,,,,4,,,,9,,,3,6,0,,,,5,2,0,5,7,3,,,6,,,3,3,3,1,1,,,,,0,,1,0,,,0.00,3,3,3,1
File,MainActivity.java,2,2,2,1,19,4,15,0,,,,,1,0,0,1,,1,1,0,,,,1,,0,0,0,1,,37,,,,9,,,,27,,,16,12,1,,,,,,,20,23,15,,,12,,,,,,,,2,2,2,1,,,1,,,,0.04,2,2,2,1
Package,br.com.concrete.canarinho.sample.ui.activity,2,2,2,1,19,4,15,0,,,,,1,0,0,,1,,1,0,,,,1,,0,0,0,1,,37,,,,9,,,,27,,,16,12,1,,,,,,,20,23,15,,,12,,,,,,,,2,2,2,1,,,1,,,,0.04,2,2,2,1
Public Class,br.com.concrete.canarinho.sample.ui.activity.MainActivity,2,2,2,1,19,4,15,0,1,7,7,0,,0,0,,,,1,0,,,,1,1,0,0,0,1,,24,,,,5,,,,18,,,7,12,1,,,,,,,11,14,6,,,12,,,,,,,,2,2,2,1,,2,1,,0,0,0.06,2,2,2,1
File,BugOnApi28Test.java,1,1,1,1,4,0,4,0,,,,,1,0,0,2,,2,2,0,,,,2,,0,0,0,2,,28,,,,6,,,,22,,,17,4,0,,,,,,,11,14,12,,,2,,,,,,,,1,1,1,1,,,0,,,,0.00,2,2,2,2
Public Class,br.com.concrete.canarinho.sample.BugOnApi28Test,1,1,1,1,4,0,4,0,1,5,5,0,,0,0,,,,2,0,,,,2,2,0,0,0,2,,16,,,,2,,,,14,,,9,4,0,,,,,,,4,7,5,,,2,,,,,,,,1,1,1,1,,1,0,,0,0,0.00,2,2,2,2
Anonymous Class,br.com.concrete.canarinho.sample.ui.model.Watchers.(Anon_1),1,1,1,1,3,0,3,0,1,6,6,0,,0,0,,,,2,0,,,,2,9,0,0,0,2,,10,,,,1,,,,9,,,5,2,0,,,,,,,2,4,2,,,2,,,,,,,,1,1,1,1,,2,0,,0,0,0.00,2,2,2,2
Anonymous Class,br.com.concrete.canarinho.sample.ui.model.Watchers.(Anon_2),1,1,1,1,3,0,3,0,1,6,6,0,,0,0,,,,2,0,,,,2,9,0,0,0,2,,10,,,,1,,,,9,,,5,2,0,,,,,,,2,4,2,,,2,,,,,,,,1,1,1,1,,2,0,,0,0,0.00,2,2,2,2
Anonymous Class,br.com.concrete.canarinho.sample.ui.model.Watchers.(Anon_3),1,1,1,1,5,0,5,0,1,8,8,0,,0,0,,,,2,0,,,,2,9,0,0,0,2,,14,,,,1,,,,13,,,5,6,0,,,,,,,2,4,2,,,2,,,,,,,,1,1,1,1,,2,0,,0,0,0.00,2,2,2,2
Anonymous Class,br.com.concrete.canarinho.sample.ui.model.Watchers.(Anon_4),1,1,1,1,5,0,5,0,1,8,8,0,,0,0,,,,2,0,,,,2,9,0,0,0,2,,14,,,,1,,,,13,,,5,6,0,,,,,,,2,4,2,,,2,,,,,,,,1,1,1,1,,2,0,,0,0,0.00,2,2,2,2
Anonymous Class,br.com.concrete.canarinho.sample.ui.model.Watchers.(Anon_5),1,1,1,1,3,0,3,0,1,6,6,0,,0,0,,,,2,0,,,,2,9,0,0,0,2,,10,,,,1,,,,9,,,5,2,0,,,,,,,2,4,2,,,2,,,,,,,,1,1,1,1,,2,0,,0,0,0.00,2,2,2,2
Anonymous Class,br.com.concrete.canarinho.sample.ui.model.Watchers.(Anon_6),1,1,1,1,3,0,3,0,1,6,6,0,,0,0,,,,2,0,,,,2,9,0,0,0,2,,10,,,,1,,,,9,,,5,2,0,,,,,,,2,4,2,,,2,,,,,,,,1,1,1,1,,2,0,,0,0,0.00,2,2,2,2
Anonymous Class,br.com.concrete.canarinho.sample.ui.model.Watchers.(Anon_7),1,1,1,1,3,0,3,0,1,6,6,0,,0,0,,,,2,0,,,,2,9,0,0,0,2,,10,,,,1,,,,9,,,5,2,0,,,,,,,2,4,2,,,2,,,,,,,,1,1,1,1,,2,0,,0,0,0.00,2,2,2,2
Anonymous Class,br.com.concrete.canarinho.sample.ui.model.Watchers.(Anon_8),1,1,1,1,3,0,3,0,1,5,5,0,,0,0,,,,2,0,,,,2,9,0,0,0,2,,10,,,,1,,,,9,,,5,2,0,,,,,,,2,4,2,,,2,,,,,,,,1,1,1,1,,2,0,,0,0,0.00,2,2,2,2
Anonymous Class,br.com.concrete.canarinho.sample.ui.model.Watchers.(Anon_9),1,1,1,1,3,0,3,0,1,4,4,0,,0,0,,,,2,0,,,,2,9,0,0,0,2,,10,,,,1,,,,9,,,5,2,0,,,,,,,2,4,2,,,2,,,,,,,,1,1,1,1,,2,0,,0,0,0.00,2,2,2,2
Public Method,br.com.concrete.canarinho.DigitoPara.Builder.comMultiplicadoresDeAte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,20,,,,3,,,,7,,,1,4,10,,,,3,2,0,5,7,2,,,5,,,2,2,2,1,0,,,,,0,,1,0,,,1.43,2,2,2,1
Public Method,br.com.concrete.canarinho.DigitoPara.Builder.trocandoPorSeEncontrar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,17,,,,3,,,,7,,,1,4,7,,,,3,2,0,3,6,2,,,4,,,2,2,2,1,0,,,,,0,,1,0,,,1.00,2,2,2,1
Private Method,br.com.concrete.canarinho.DigitoPara.proximoMultiplicador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,10,,,,3,,,,7,,,2,4,0,,,,2,2,0,3,5,2,,,3,,,2,2,2,1,0,,,,,0,,1,0,,,0.00,2,2,2,1
Public Method,br.com.concrete.canarinho.formatador.FormatadorBase.estaFormatado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,8,,,,2,,,,6,,,1,3,0,,,,3,2,0,2,4,1,,,3,,,2,2,2,1,0,,,,,0,,1,0,,,0.00,2,2,2,1
Private Method,br.com.concrete.canarinho.formatador.FormatadorBase.matchAndReplace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,8,,,,2,,,,6,,,1,3,0,,,,3,2,0,2,4,1,,,3,,,2,2,2,1,1,,,,,0,,1,0,,,0.00,2,2,2,1
Public Method,br.com.concrete.canarinho.formatador.FormatadorBase.podeSerFormatado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,,,,0,,,,3,,,1,1,0,,,,3,1,0,1,2,1,,,1,,,1,1,2,1,0,,,,,0,,0,0,,,0.00,1,1,2,1
Public Method,br.com.concrete.canarinho.formatador.FormatadorBoleto.desformata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,,,,2,,,,6,,,1,3,0,,,,3,2,0,2,4,1,,,3,,,2,2,2,1,1,,,,,0,,1,0,,,0.00,2,2,2,1
Private Method,br.com.concrete.canarinho.formatador.FormatadorBoleto.ehTributo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,8,,,,2,,,,6,,,1,3,0,,,,2,2,0,2,4,1,,,3,,,2,2,2,1,0,,,,,0,,1,0,,,0.00,2,2,2,1
Public Method,br.com.concrete.canarinho.formatador.FormatadorBoleto.estaFormatado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,,,,2,,,,6,,,1,3,0,,,,3,2,0,2,4,1,,,3,,,2,2,2,1,1,,,,,0,,1,0,,,0.00,2,2,2,1
Public Method,br.com.concrete.canarinho.formatador.FormatadorBoleto.formata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,,,,2,,,,6,,,1,3,0,,,,3,2,0,2,4,1,,,3,,,2,2,2,1,1,,,,,0,,1,0,,,0.00,2,2,2,1
Public Method,br.com.concrete.canarinho.formatador.FormatadorBoleto.podeSerFormatado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,,,,2,,,,6,,,1,3,0,,,,3,2,0,2,4,1,,,3,,,2,2,2,1,1,,,,,0,,1,0,,,0.00,2,2,2,1
Public Method,br.com.concrete.canarinho.formatador.FormatadorCEP.podeSerFormatado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,,,,1,,,,6,,,1,3,0,,,,2,2,0,2,4,1,,,3,,,2,2,2,1,1,,,,,0,,1,0,,,0.00,2,2,2,1
Public Method,br.com.concrete.canarinho.formatador.FormatadorCPFCNPJ.desformata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,,,,1,,,,6,,,1,3,0,,,,3,2,0,2,4,1,,,3,,,2,2,2,1,1,,,,,0,,1,0,,,0.00,2,2,2,1
Private Method,br.com.concrete.canarinho.formatador.FormatadorCPFCNPJ.ehCpf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,9,,,,1,,,,8,,,3,5,0,,,,4,2,0,3,5,2,,,4,,,2,2,2,1,0,,,,,0,,1,0,,,0.00,2,2,2,1
Public Method,br.com.concrete.canarinho.formatador.FormatadorCPFCNPJ.estaFormatado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,,,,1,,,,6,,,1,3,0,,,,3,2,0,2,4,1,,,3,,,2,2,2,1,1,,,,,0,,1,0,,,0.00,2,2,2,1
Public Method,br.com.concrete.canarinho.formatador.FormatadorCPFCNPJ.formata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,,,,1,,,,6,,,1,3,0,,,,3,2,0,2,4,1,,,3,,,2,2,2,1,1,,,,,0,,1,0,,,0.00,2,2,2,1
Public Method,br.com.concrete.canarinho.formatador.FormatadorTelefone.desformata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,,,,1,,,,6,,,1,3,0,,,,3,2,0,2,4,1,,,3,,,2,2,2,1,1,,,,,0,,1,0,,,0.00,2,2,2,1
Private Method,br.com.concrete.canarinho.formatador.FormatadorTelefone.ehNoveDigitos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,9,,,,1,,,,8,,,1,5,0,,,,4,2,0,2,4,1,,,3,,,2,2,2,1,0,,,,,0,,1,0,,,0.00,2,2,2,1
Public Method,br.com.concrete.canarinho.formatador.FormatadorTelefone.estaFormatado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,,,,1,,,,6,,,1,3,0,,,,3,2,0,2,4,1,,,3,,,2,2,2,1,1,,,,,0,,1,0,,,0.00,2,2,2,1
Public Method,br.com.concrete.canarinho.formatador.FormatadorTelefone.formata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,,,,1,,,,6,,,1,3,0,,,,3,2,0,2,4,1,,,3,,,2,2,2,1,1,,,,,0,,1,0,,,0.00,2,2,2,1
Public Method,br.com.concrete.canarinho.formatador.FormatadorTelefone.podeSerFormatado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,,,,1,,,,6,,,1,3,0,,,,3,2,0,2,4,1,,,3,,,2,2,2,1,1,,,,,0,,1,0,,,0.00,2,2,2,1
Public Method,br.com.concrete.canarinho.formatador.FormatadorValor.estaFormatado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,,,,2,,,,6,,,1,3,0,,,,3,2,0,2,4,1,,,3,,,2,2,2,1,0,,,,,0,,1,0,,,0.00,2,2,2,1
Public Method,br.com.concrete.canarinho.formatador.FormatadorValor.formata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,,,,0,,,,4,,,2,2,0,,,,2,1,0,2,3,2,,,2,,,2,2,2,1,0,,,,,0,,0,0,,,0.00,2,2,2,1
